City,latitude,longitude,date,disc number
"Dallas, Texas",32.776664,-96.796988,6-Sep,AFS 3942
"Glenrose, Texas",32.234587,-97.755306,8-Sep,AFS 3943?3946a
"Dallas, Texas",32.776664,-96.796988,09?10 Sept,AFS 3946b?3948
"Fort Worth, Texas",32.755488,-97.330766,11?13 Sept,AFS 3949?3951
"Dallas, Texas",32.776664,-96.796988,13-Sep,AFS 3951
"Waco, Texas",31.549333,-97.14667,14-Sep,AFS 3952
"Austin, Texas",30.267153,-97.743061,16-Sep,AFS 3952?3956
"Prairie Lea, Texas",29.730844,-97.754198,17-Sep,AFS 3956?3961
"Kingsville, Texas",27.515869,-97.856109,19?20 Sept,"AFS 3962?3967a?2 (at this point, Bess Brown Lomax left the trip)"
"Lufkin, Texas",31.338241,-94.729097,26-Sep,AFS 3967a3?3969
"Jasper, Texas",30.9202,-93.996576,28-Sep,AFS 3970?3971a
"Covington, Texas",32.178483,-97.258068,29-Sep,AFS 3971b?3972
"Weirgate, Texas",30.999641,-93.707677,30-Sep,AFS 3972?3973
"Jasper, Texas",30.9202,-93.996576,30-Sep,AFS 3974
"Lufkin, Texas",31.338241,-94.729097,Oct,AFS 3973
"Merryville, Louisiana",30.754367,-93.540451,1-Oct,AFS 3976?3978
"Jasper, Texas",30.9202,-93.996576,03?04 Oct,AFS 3978?3982
"Wiergate, Texas",30.999641,-93.707677,3-Oct,AFS 3982?3985
"Lufkin, Texas",31.338241,-94.729097,3-Oct,AFS 3985
"Jasper, Texas",30.9202,-93.996576,4-Oct,AFS 3986?3987
"Lufkin, Texas",31.338241,-94.729097,7-Oct,AFS 3988 and 3890a1?2
"Shreveport, Louisiana",32.525152,-93.750179,09?10 Oct,AFS 3989 and 3990a3?3991
"New Roads, Louisiana",30.701574,-91.436224,9-Oct,AFS 3991
"Oil City, Louisiana",32.744032,-93.97157,10-Oct,AFS 3992?3995a
"Lufkin, Texas",31.338241,-94.729097,10-Oct,AFS 3990
"Shreveport, Louisiana",32.525152,-93.750179,11-Oct,AFS 3995b
"New Roads, Louisiana",30.701574,-91.436224,13?14 Oct,AFS 3996?3997
"Winnfield, Louisiana",31.925441,-92.639593,15-Oct,AFS 3998?4000
"Baton Rouge, Louisiana",30.458283,-91.14032,16-Oct,AFS 4008
"Baton Rouge, Louisiana",30.458283,-91.14032,17-Oct,AFS 4000
"Natchez, Mississippi",31.560444,-91.403171,18?19 Oct,AFS 4001?4007
"Natchez, Mississippi",31.560444,-91.403171,20-Oct,"AFS 4008, 4012, and 4013a2"
Drew. Mississippi,33.809558,33.809558,20-Oct,"AFS 4008, 4012, and 4018"
"Rome, Mississippi",33.963168,-90.478427,23-Oct,"AFS 4009?4011, and 4013a1"
"Drew, Mississippi",33.809558,33.809558,24-Oct,AFS 4013b?4017
"Lufkin, Texas",31.338241,-94.729097,25-Oct,AFS 4044a1
"Livingston, Alabama",32.584303,-88.187248,27?28 Oct,AFS 4017?4024 and 4038?4041
"Sumterville, Alabama",32.7118,-88.238917,29-Oct,AFS 4025?4028
"York, Alabama",32.486249,-88.296418,30-Oct,AFS 4028?4029 and 4043a
"Livingston, Alabama",32.584303,-88.187248,30 Oct?Nov 3,"AFS 4030?4042, 4043b, 4044a2?b, 4049, 4054?4055, 4057?4060, 4062?4063, 4064b3, 4065, and 4067?4069a"
"Boyd, Alabama",32.61958,-88.304197,3-Nov,AFS 4064a?b2
"Atlanta, Georgia",33.748995,-84.387982,5-Nov,AFS 4069b?4073a1 and 4073b
"Canton, Georgia",34.236762,-84.490762,5-Nov,AFS 4074?4075a
"Columbia, South Carolina",34.00071,-81.034814,8-Nov,AFS 4076?4079b1 and 4080a?b3
"Cherry Lane, North Carolina",36.442076,-81.018135,10-Nov,AFS 4075b and 4086
"Arlington, Virginia",38.87997,-77.10677,11-Nov,"AFS 4073a2, 4073b2, 4079b2, and 4080b4?4085"
"Washington, District of Columbia",38.907192,-77.036871,3-Dec,AFS 4087
